"Indirizzo1","Provincia","Comune","Cap","DenominazioneStruttura","NroCivico","Telefono1","Telefono2","RecapitiFax","EMail","SitoWeb","DistanzeParcheggioEsterno(Meters)","DistanzeStazioneFerroviaria(Km)1","DistanzeStazioneFerroviaria(Km)2","DistanzeNomeStazioneFerroviaria","zipcode"
"Via Nizza","TORINO","TORINO","10100","CAMPLUS LINGOTTO","230","116939393","","116939350","lingotto.guest@camplus.it","www.camplusguest.it","10","5","","PORTA NUOVA","10127"
"Via Caraglio","TORINO","TORINO","10100","CAMPUS SAN PAOLO","97","113828416","","115175486","","www.campussanpaolo.it","15","3.2","""","PORTAÂ·SUSA","10141Ê"
"Via C. I. Giulio","TORINO","TORINO","10100","CASA DELLA GIOVANE","8","114362681","","114390169","toconsolata@fma-ipi.it","","50","2","","PORTA NUOVA","10122"
"Via Massena Andrea","TORINO","TORINO","10100","CASA ENRICHETTA DOMINICI","34","0115166532","3317049877","115166599","casasantanna.to@istituto-santanna.it","","500","0.6","""","PORTA NUOVA","10128Ê"
"Via Massena Andrea","TORINO","TORINO","10100","CASA ENRICHETTA DOMINICI","34","0115166532","3317049877","115166599","casasantanna.to@istituto-santanna.it","","500","0.6","""","PORTA NUOVA","10128"
"Via San Pio V","TORINO","TORINO","10100","CASA FEMMINILE VALDESE","15","116692838","","1119834888","csd.casa.femminile@tiscali.it","www.torinovaldese.org","","0.2","""","PORTA NUOVA","10125Ê"
"Via Maria Ausilliatrice","TORINO","TORINO","10100","CASA MAMMA MARGHERITA","9","115224201","","115224680","accoglienza@valdocco.it","www.accoglienza.valdocco.it","50","1","","PORTA SUSA","10152Ê"
"Via Della Basilica","TORINO","TORINO","10100","CENTRO FORMATIVO ONAOSI","4","115290500","","115290510","cftorino@onaosi.it","","","","","","10122"
"VIA CIMABUE","TORINO","TORINO","10100","CENTRO PUZZLE","2","113119900","","113010078","info@centropuzzle.it","www.centropuzzle.org","10","6.5","","PORTA NUOVA","10137"
"CORSO LIONE","TORINO","TORINO","10100","COLLEGIO UNIVERSITARIO R. EINAUDI - SEZ. CROCETTA","24","113851922","","118171008","concorsi@collegioeinaudi.it","www.collegioeinaudi.it","","3.2","""","PORTA NUOVA","10141Ê"
"VIA GALLIARI BERNARDINO","TORINO","TORINO","10100","COLLEGIO UNIVERSITARIO R. EINAUDI-SEZ. VALENTINO","30","114222505","","118171008","concorsi@collegioeinaudi.it","www.collegioeinaudi.it","","0.85","""","PORTA NUOVA","10125"
"Via Madama Cristina","TORINO","TORINO","10100","COLLEGIO UNIVERSITARIO SAN GIOVANNI EVANGELISTA","1","1119839492","","110703992","cus.sangiovanni@31gennaio.net","","100","0.5","""","PORTA NUOVA","10125"
"VICOLO CROCETTA","TORINO","TORINO","10100","COLLEGIUM TRINITATIS","5/A","110810354","","","info@collegiumtrinitatis.it","www.trini.to.it","30","1.7","","PORTA NUOVA","10129"
"VIA SPOLETO","TORINO","TORINO","10100","CONVITTO PER STUDENTI E LAVORATORI ORIONE-MAFFEI","9","0115690832","0115212812","117935870","orionecooperativa@libero.it","www.camereaffitto.it","","3","","PORTA SUSA","10143"
"Via Saluzzo","TORINO","TORINO","10100","CONVITTO SAN SALVARIO","58","116694728","","","contatti@sport-residence.it","www.sportresidence.com","100","1","","FS","10125"
"Strada Comunale Cascinotto","TORINO","TORINO","10100","DELLA BARCA","59","112730972","","","ostello.abbadia@virgilio.it","www.ostelloanticaabbadia.it","10","","","","10156"
"Strada Comunale Cascinotto","TORINO","TORINO","10100","DELLA BARCA","59","112730972","","","ostello.abbadia@virgilio.it","www.ostelloanticaabbadia.it","10","","","","10156"
"Corso Principe Oddone","TORINO","TORINO","10100","D'ORHO-DON ORIONE HOUSING","22","3883254331","","","dorho.torino@gmail.com","","","1","","PORTA SUSA","10122"
"Via Pomba Giuseppe","TORINO","TORINO","10100","GIOVANNA D'ARCO VARSITY HOUSE","21","110208430","","","segreteria@residenzagiovannadarco.it","www.residenzagiovannadarco.it","","0.7","","PORTA NUOVA","10123Ê"
"STATI UNITI","TORINO","TORINO","10100","LINK HOUSE","11/H","115631562","","110700808","segreteria@cooperativaparadigma.it","www.cooperativaparadigma.it","1","0.5","","PORTA NUOVA","10128"
"VIA SALERNO","TORINO","TORINO","10100","MICHELE MAGONE","12","115224279","","","casamichelemagone@gmail.com","","30","2","","PORTA SUSA","10152"
"Via Andreis Vittorio","TORINO","TORINO","10100","OSPITERIA DELL'ARSENALE DELLA PACE","18/27","114368566","","115215571","ospiteria@sermig.org","www.sermig.org/ospiteria","20","3","","PORTA SUSA","10152"
"Via Tarino Luigi","TORINO","TORINO","10100","PENSIONATO MADRE CABRINI","1","11835858","","11835859","msccabrini.to@libero.it","","10","2","","PORTA NUOVA","10124"
"Piazza Rebaudengo Conti Di","TORINO","TORINO","10100","PENSIONATO REBAUNO","22","112429711","","112429799","economato@rebanet.it","www.rebanet.it","20","6","","PORTA SUSA","10155"
"Piazza Rebaudengo Conti Di","TORINO","TORINO","10100","PENSIONATO REBAUNO","22","112429711","","112429799","economato@rebanet.it","www.rebanet.it","20","6","","PORTA SUSA","10155"
"Via Maria Ausiliatrice","TORINO","TORINO","10100","PENSIONATO UNIVERSITARIO VALDOCCO","36","115224822","","115224395","cus.valdocco@31gennaio.net","","30","2","","PORTA SUSA","10152"
"Via Maria Ausiliatrice","TORINO","TORINO","10100","PENSIONATO UNIVERSITARIO VALDOCCO","36","115224822","","115224395","cus.valdocco@31gennaio.net","","30","2","","PORTA SUSA","10152"
"Corso Peschiera","TORINO","TORINO","10100","RESIDENZA UNIVERSITARIA CARLO MOLLINO","90","01119752000","3460763219","119752171","residenza.mollino@camplus.it","www.camplusapartments.it","5","2","","PORTA SUSA","10138"
"Strada Valpiana","TORINO","TORINO","10100","RESIDENZA VALPIANA","31","118998555","","118998555","mail@fondazione-df.com","www.fondazione-df.com","",""," 3,7""","PORTA NUOVA","10132"
"Via Capriolo","TORINO","TORINO","10100","SGUARDO SU TORINO","18","0113835245","3371320952","113802905","sguardosutorino@gruppoarco.org","www.gruppoarco.org/sguardosutorino","","2","","PORTA SUSA","10139"
"VIA TRAVES","TORINO","TORINO","10100","WINS BOARDING","28","111972111","","111972150","info@worldinternationalschool.com","www.worldinternationalschool.com","250","5.5","","GTT DORA","10151"
